Country,sum_migrants,Population,pct_of_pop,Region
Afghanistan,2387696,18111000,0.131836784,Asia
Albania,443105,3113000,0.142340186,Europe
Algeria,973896,28758000,0.03386522,Africa
American Samoa,2621,53000,0.04945283,Oceania
Andorra,4192,64000,0.0655,Europe
Angola,522294,13945000,0.037453854,Africa
Anguilla,1054,10000,0.1054,Latin America and the Caribbean
Antigua and Barbuda,21179,69000,0.306942029,Latin America and the Caribbean
Argentina,480472,34828000,0.013795567,Latin America and the Caribbean
Armenia,675612,3217000,0.210013056,Asia
Aruba,6502,80000,0.081275,Latin America and the Caribbean
Australia,341785,17993000,0.018995443,Oceania
Austria,488140,7990000,0.061093867,Europe
Azerbaijan,1454208,7775000,0.187036399,Asia
Bahamas,28773,280000,0.102760714,Latin America and the Caribbean
Bahrain,17411,564000,0.030870567,Asia
Bangladesh,5339443,115170000,0.046361405,Asia
Barbados,87653,266000,0.329522556,Latin America and the Caribbean
Belarus,1698428,10078000,0.168528279,Europe
Belgium,375241,10186000,0.036838897,Europe
Belize,41719,207000,0.201541063,Latin America and the Caribbean
Benin,155525,5906000,0.02633339,Africa
Bermuda,42544,63000,0.675301587,Northern America
Bhutan,10307,535000,0.019265421,Asia
Bolivia (Plurinational State of) ,283425,NA,NA,Latin America and the Caribbean
"Bonaire, Sint Eustatius and Saba",3399,15000,0.2266,Latin America and the Caribbean
Bosnia and Herzegovina,1366184,3829000,0.356799164,Europe
Botswana,23320,1469000,0.015874745,Africa
Brazil,740004,162020000,0.004567362,Latin America and the Caribbean
British Virgin Islands,401,19000,0.021105263,Latin America and the Caribbean
Brunei Darussalam,35052,297000,0.118020202,Asia
Bulgaria,648547,8379000,0.07740148,Europe
Burkina Faso,1215287,10090000,0.120444698,Africa
Burundi,531462,5987000,0.088769334,Africa
Cabo Verde,102344,386000,0.265139896,Africa
Cambodia,383258,10656000,0.035966404,Asia
Cameroon,94623,13600000,0.006957574,Africa
Canada,1061853,29164000,0.036409717,Northern America
Cayman Islands,792,32000,0.02475,Latin America and the Caribbean
Central African Republic,40445,3223000,0.012548868,Africa
Chad,126017,7010000,0.017976748,Africa
Channel Islands,15423,143000,0.107853147,Europe
Chile,497315,14381000,0.034581392,Latin America and the Caribbean
China,4797979,1262277000,0.003801051,Asia
"China, Hong Kong SAR",606085,6084000,0.099619494,Asia
"China, Macao SAR",98093,386000,0.254126943,Asia
Colombia,1198038,36421000,0.032894154,Latin America and the Caribbean
Comoros,22884,475000,0.048176842,Africa
Congo,114430,2708000,0.042256278,Africa
Cook Islands,17012,19000,0.895368421,Oceania
Costa Rica,84687,3546000,0.023882403,Latin America and the Caribbean
Côte d Ivoire,144188,NA,NA,Africa
Croatia,706813,4617000,0.153089235,Europe
Cuba,913502,10888000,0.08389989,Latin America and the Caribbean
Curaçao,46141,144000,0.320423611,Latin America and the Caribbean
Cyprus,163285,855000,0.190976608,Asia
Czechia,333295,10358000,0.032177544,Europe
Dem  Rep  of the Congo,0,NA,NA,
Democratic Republic of the Congo,543800,41576000,0.013079661,Africa
Denmark,199226,5233000,0.038071087,Europe
Djibouti,5063,630000,0.008036508,Africa
Dominica,26481,71000,0.372971831,Latin America and the Caribbean
Dominican Republic,607404,7819000,0.07768308,Latin America and the Caribbean
Ecuador,325543,11455000,0.028419293,Latin America and the Caribbean
Egypt,1340177,62334000,0.021499936,Africa
El Salvador,932822,5629000,0.165717179,Latin America and the Caribbean
Equatorial Guinea,46414,497000,0.09338833,Africa
Eritrea,337077,2204000,0.152938748,Africa
Estonia,128905,1433000,0.089954641,Europe
Eswatini,30342,927000,0.032731392,Africa
Ethiopia,797658,57048000,0.013982225,Africa
Falkland Islands  Malvinas ,763,NA,NA,Latin America and the Caribbean
