Country,sum_migrants,Population,pct_of_pop,Region
Afghanistan,111353,38042000,0.002927107,Asia
Albania,43711,2881000,0.015172162,Europe
Algeria,63997,43053000,0.00148647,Africa
American Samoa,22945,55000,0.417181818,Oceania
Andorra,42440,77000,0.551168831,Europe
Angola,145040,31825000,0.004557423,Africa
Anguilla,3454,15000,0.230266667,Latin America and the Caribbean
Antigua and Barbuda,26447,97000,0.272649485,Latin America and the Caribbean
Argentina,1649940,44781000,0.036844644,Latin America and the Caribbean
Armenia,162274,2958000,0.054859364,Asia
Aruba,27548,106000,0.259886792,Latin America and the Caribbean
Australia,7279224,25203000,0.288823711,Oceania
Austria,1734294,8955000,0.193667672,Europe
Azerbaijan,249805,10048000,0.024861166,Asia
Bahamas,60086,389000,0.154462725,Latin America and the Caribbean
Bahrain,732119,1641000,0.446141987,Asia
Bangladesh,995336,163046000,0.006104633,Asia
Barbados,20555,287000,0.071620209,Latin America and the Caribbean
Belarus,1068704,9452000,0.113066441,Europe
Belgium,1815698,11539000,0.15735315,Europe
Belize,58477,390000,0.149941026,Latin America and the Caribbean
Benin,314587,11801000,0.026657656,Africa
Bermuda,18184,63000,0.288634921,Northern America
Bhutan,49177,763000,0.064452163,Asia
Bolivia (Plurinational State of),149924,11513000,0.013022149,Latin America and the Caribbean
"Bonaire, Sint Eustatius and Saba",7596,26000,0.292153846,Latin America and the Caribbean
Bosnia and Herzegovina,34853,3301000,0.010558316,Europe
Botswana,103487,2304000,0.044916233,Africa
Brazil,727812,211050000,0.003448529,Latin America and the Caribbean
British Virgin Islands,16799,30000,0.559966667,Latin America and the Caribbean
Brunei Darussalam,109525,433000,0.252944573,Asia
Bulgaria,164766,7000000,0.023538,Europe
Burkina Faso,112814,20321000,0.005551597,Africa
Burundi,291284,11531000,0.025260949,Africa
Cabo Verde,8724,550000,0.015861818,Africa
Cambodia,75465,16487000,0.004577243,Asia
Cameroon,489365,25876000,0.018911926,Africa
Canada,7649542,37411000,0.204473069,Northern America
Cayman Islands,28652,65000,0.4408,Latin America and the Caribbean
Central African Republic,64519,4745000,0.01359726,Africa
Chad,496489,15947000,0.031133693,Africa
Channel Islands,80639,172000,0.468831395,Europe
Chile,746328,18952000,0.039379907,Latin America and the Caribbean
China,832016,1457558000,0.000570829,Asia
"China, Hong Kong SAR",2840549,7436000,0.381999597,Asia
"China, Macao SAR",353514,640000,0.552365625,Asia
Colombia,89199,50339000,0.001771966,Latin America and the Caribbean
Comoros,10310,851000,0.012115159,Africa
Congo,353346,5381000,0.06566549,Africa
Cook Islands,2746,18000,0.152555556,Oceania
Costa Rica,401085,5048000,0.079454239,Latin America and the Caribbean
Côte d'Ivoire,2477566,25717000,0.09633962,Africa
Croatia,887007,4130000,0.214771671,Europe
Cuba,3993,11333000,0.000352334,Latin America and the Caribbean
Curaçao,32039,163000,0.196558282,Latin America and the Caribbean
Cyprus,187909,1199000,0.156721435,Asia
Czechia,511090,10689000,0.047814576,Europe
Democratic Republic of the Congo,929883,86791000,0.010714049,Africa
Denmark,646913,5772000,0.112077789,Europe
Djibouti,12922,974000,0.01326694,Africa
Dominica,6046,72000,0.083972222,Latin America and the Caribbean
Dominican Republic,549601,10739000,0.051178043,Latin America and the Caribbean
Ecuador,299671,17374000,0.017248245,Latin America and the Caribbean
Egypt,457384,100388000,0.004556162,Africa
El Salvador,42010,6454000,0.006509142,Latin America and the Caribbean
Equatorial Guinea,9617,1356000,0.007092183,Africa
Eritrea,11253,3497000,0.003217901,Africa
Estonia,190020,1326000,0.143303167,Europe
Eswatini,24656,1148000,0.021477352,Africa
Ethiopia,747658,112079000,0.006670813,Africa
Falkland Islands (Malvinas),1429,3000,0.476333333,Latin America and the Caribbean
Faroe Islands,5872,49000,0.119836735,Europe
Fiji,11766,890000,0.013220225,Oceania
Finland,348495,5532000,0.062996204,Europe
France,8157194,65130000,0.125244803,Europe
French Guiana,109224,291000,0.375340206,Latin America and the Caribbean
French Polynesia,24971,279000,0.089501792,Oceania
Gabon,396950,2173000,0.182673723,Africa
Gambia,195361,2348000,0.083203152,Africa
Georgia,75769,3997000,0.018956467,Asia
Germany,12820078,83517000,0.153502616,Europe
Ghana,324754,30418000,0.010676376,Africa
Gibraltar,8827,34000,0.259617647,Europe
Greece,1195642,10473000,0.114164232,Europe
Greenland,5159,57000,0.090508772,Northern America
Grenada,3785,112000,0.033794643,Latin America and the Caribbean
Guadeloupe,83244,448000,0.1858125,Latin America and the Caribbean
Guam,59603,167000,0.356904192,Oceania
Guatemala,76226,17581000,0.004335703,Latin America and the Caribbean
Guinea,97873,12771000,0.007663691,Africa
Guinea-Bissau,25165,1921000,0.013099948,Africa
Guyana,12655,783000,0.016162197,Latin America and the Caribbean
Haiti,13374,11263000,0.001187428,Latin America and the Caribbean
Holy See,0,1000,0,Europe
Honduras,37979,9746000,0.003896881,Latin America and the Caribbean
Hungary,486943,9685000,0.050278059,Europe
Iceland,50608,339000,0.149286136,Europe
India,5125024,1366418000,0.0037507,Asia
Indonesia,312573,270626000,0.001155,Asia
Iran (Islamic Republic of),2443847,82914000,0.02947448,Asia
Iraq,326066,39310000,0.008294734,Asia
Ireland,831711,4882000,0.170362761,Europe
Isle of Man,37095,85000,0.436411765,Europe
Israel,1295528,8519000,0.152075126,Asia
Italy,6082264,60550000,0.100450273,Europe
Jamaica,20967,2948000,0.00711228,Latin America and the Caribbean
Japan,2518279,126860000,0.019850851,Asia
Jordan,3322941,10102000,0.328938923,Asia
Kazakhstan,3370579,18551000,0.181692577,Asia
Kenya,518238,52574000,0.009857306,Africa
Kiribati,702,118000,0.005949153,Oceania
Korea (Democratic People's Rep. of),47208,NA,NA,Asia
Kuwait,2908473,4207000,0.691341336,Asia
Kyrgyzstan,303719,6416000,0.047337749,Asia
Lao People's Democratic Republic,44627,7169000,0.006224997,Asia
Latvia,237168,1907000,0.124367069,Europe
Lebanon,1862326,6856000,0.271634481,Asia
Lesotho,4136,2125000,0.001946353,Africa
Liberia,65662,4937000,0.01329998,Africa
Libya,705619,6777000,0.104119669,Africa
Liechtenstein,24608,38000,0.647578947,Europe
Lithuania,116757,2760000,0.042303261,Europe
Luxembourg,290069,616000,0.470891234,Europe
Madagascar,25555,26969000,0.000947569,Africa
Malawi,188524,18629000,0.010119921,Africa
Malaysia,3198693,31950000,0.100115587,Asia
Maldives,64709,531000,0.121862524,Asia
Mali,251821,19658000,0.012810103,Africa
Malta,78003,440000,0.177279545,Europe
Marshall Islands,2690,59000,0.04559322,Oceania
Martinique,52248,376000,0.138957447,Latin America and the Caribbean
Mauritania,136201,4526000,0.030093018,Africa
Mauritius,27284,1270000,0.021483465,Africa
Mayotte,73098,266000,0.274804511,Africa
Mexico,1016340,127576000,0.007966545,Latin America and the Caribbean
Micronesia (Fed. States of),86820,114000,0.761578947,Oceania
Monaco,13724,39000,0.351897436,Europe
Mongolia,19727,3225000,0.006116899,Asia
Montenegro,69992,628000,0.111452229,Europe
Montserrat,1133,5000,0.2266,Latin America and the Caribbean
Morocco,81757,36472000,0.002241637,Africa
Mozambique,292121,30366000,0.009620003,Africa
Myanmar,66204,54045000,0.001224979,Asia
Namibia,104616,2495000,0.041930261,Africa
Nauru,861,11000,0.078272727,Oceania
Nepal,478502,28609000,0.016725576,Asia
Netherlands,2064906,17097000,0.120775926,Europe
New Caledonia,55561,283000,0.196328622,Oceania
New Zealand,998233,4783000,0.20870437,Oceania
Nicaragua,39385,6546000,0.006016651,Latin America and the Caribbean
Niger,279395,23311000,0.011985543,Africa
Nigeria,1127868,200964000,0.005612289,Africa
Niue,493,2000,0.2465,Oceania
North Macedonia,138377,2083000,0.066431589,Europe
Northern Mariana Islands,18097,57000,0.317491228,Oceania
Norway,785236,5379000,0.145981781,Europe
Oman,2192873,4975000,0.440778492,Asia
Pakistan,1752835,216565000,0.008093806,Asia
Palau,4028,18000,0.223777778,Oceania
Panama,169197,4246000,0.039848563,Latin America and the Caribbean
Papua New Guinea,30085,8776000,0.003428099,Oceania
Paraguay,153884,7045000,0.021843009,Latin America and the Caribbean
Peru,158347,32510000,0.004870717,Latin America and the Caribbean
Philippines,152081,108117000,0.001406634,Asia
Poland,647804,37888000,0.017097867,Europe
Portugal,827946,10226000,0.080964796,Europe
Puerto Rico,243764,2933000,0.083110808,Latin America and the Caribbean
Qatar,2194803,2832000,0.775001059,Asia
Republic of Korea,1110642,51225000,0.02168164,Asia
Republic of Moldova,99672,4043000,0.02465298,Europe
Réunion,109743,889000,0.123445444,Africa
Romania,444262,19365000,0.022941492,Europe
Russian Federation,11620853,145872000,0.079664727,Europe
Rwanda,530647,12627000,0.042024788,Africa
Saint Helena,360,6000,0.06,Africa
Saint Kitts and Nevis,2273,53000,0.042886792,Latin America and the Caribbean
Saint Lucia,7020,183000,0.038360656,Latin America and the Caribbean
Saint Pierre and Miquelon,969,6000,0.1615,Northern America
Saint Vincent and the Grenadines,3926,111000,0.035369369,Latin America and the Caribbean
Samoa,2195,197000,0.011142132,Oceania
San Marino,5197,34000,0.152852941,Europe
Sao Tome and Principe,2121,215000,0.009865116,Africa
Saudi Arabia,12680056,34269000,0.370015349,Asia
Senegal,197348,16296000,0.012110211,Africa
Serbia,819494,8772000,0.093421569,Europe
Seychelles,12422,98000,0.126755102,Africa
Sierra Leone,52661,7813000,0.006740177,Africa
Singapore,1906422,5804000,0.328466919,Asia
Sint Maarten (Dutch part),19175,42000,0.456547619,Latin America and the Caribbean
Slovakia,186917,5457000,0.034252703,Europe
Slovenia,332974,2079000,0.160160654,Europe
Solomon Islands,2476,670000,0.003695522,Oceania
Somalia,26439,15443000,0.001712038,Africa
South Africa,2944936,58558000,0.050290925,Africa
South Sudan,862984,11062000,0.078013379,Africa
Spain,5718343,46737000,0.12235152,Europe
Sri Lanka,37817,21324000,0.001773448,Asia
State of Palestine,231086,4981000,0.046393495,Asia
Sudan,1196037,42813000,0.027936304,Africa
Suriname,27084,581000,0.046616179,Latin America and the Caribbean
Sweden,1711449,10036000,0.170530988,Europe
Switzerland,2358250,8591000,0.274502386,Europe
Syrian Arab Republic,799906,17070000,0.04686034,Asia
Tajikistan,267205,9321000,0.028666989,Asia
Thailand,3634033,69626000,0.05219362,Asia
Timor-Leste,7268,1293000,0.005621036,Asia
Togo,251557,8082000,0.031125588,Africa
Tokelau,418,1000,0.418,Oceania
Tonga,1050,104000,0.010096154,Oceania
Trinidad and Tobago,44704,1395000,0.032045878,Latin America and the Caribbean
Tunisia,42412,11695000,0.003626507,Africa
Turkey,5634356,83430000,0.067533933,Asia
Turkmenistan,189138,5942000,0.031830697,Asia
Turks and Caicos Islands,19175,38000,0.504605263,Latin America and the Caribbean
Tuvalu,124,12000,0.010333333,Oceania
Uganda,1694237,44270000,0.038270544,Africa
