Country,sum_migrants,pct_of_pop,Population,Region
Afghanistan,3011431,0.079160691,38042000,Asia
Albania,1207053,0.418970149,2881000,Europe
Algeria,1940033,0.045061506,43053000,Africa
American Samoa,1794,0.032618182,55000,Oceania
Andorra,9114,0.118363636,77000,Europe
Angola,523417,0.016446724,31825000,Africa
Anguilla,1261,0.084066667,15000,Latin America and the Caribbean
Antigua and Barbuda,48932,0.504453608,97000,Latin America and the Caribbean
Argentina,1009638,0.022546124,44781000,Latin America and the Caribbean
Armenia,964864,0.326187965,2958000,Asia
Aruba,15055,0.142028302,106000,Latin America and the Caribbean
Australia,575843,0.022848193,25203000,Oceania
Austria,575924,0.064313121,8955000,Europe
Azerbaijan,1155867,0.115034534,10048000,Asia
Bahamas,45835,0.117827763,389000,Latin America and the Caribbean
Bahrain,60163,0.036662401,1641000,Asia
Bangladesh,7834854,0.048053028,163046000,Asia
Barbados,111854,0.389735192,287000,Latin America and the Caribbean
Belarus,1480838,0.156669276,9452000,Europe
Belgium,580936,0.050345437,11539000,Europe
Belize,67762,0.173748718,390000,Latin America and the Caribbean
Benin,665795,0.056418524,11801000,Africa
Bermuda,18021,0.286047619,63000,Northern America
Bhutan,49233,0.064525557,763000,Asia
Bolivia (Plurinational State of) ,878175,NA,NA,Latin America and the Caribbean
"Bonaire, Sint Eustatius and Saba",9753,0.375115385,26000,Latin America and the Caribbean
Bosnia and Herzegovina,2325747,0.704558316,3301000,Europe
Botswana,86504,0.037545139,2304000,Africa
Brazil,1720714,0.008153111,211050000,Latin America and the Caribbean
British Virgin Islands,1835,0.061166667,30000,Latin America and the Caribbean
Brunei Darussalam,46994,0.108531178,433000,Asia
Bulgaria,1541891,0.220270143,7000000,Europe
Burkina Faso,1581090,0.077805718,20321000,Africa
Burundi,608321,0.052755268,11531000,Africa
Cabo Verde,186372,0.338858182,550000,Africa
Cambodia,1097395,0.06656123,16487000,Asia
Cameroon,383102,0.014805302,25876000,Africa
Canada,1316616,0.035193285,37411000,Northern America
Cayman Islands,1974,0.030369231,65000,Latin America and the Caribbean
Central African Republic,767889,0.161831191,4745000,Africa
Chad,206406,0.01294325,15947000,Africa
Channel Islands,22357,0.129982558,172000,Europe
Chile,650012,0.034297805,18952000,Latin America and the Caribbean
China,10396488,0.007132813,1457558000,Asia
"China, Hong Kong SAR",1088547,0.146388784,7436000,Asia
"China, Macao SAR",161953,0.253051563,640000,Asia
Colombia,2847350,0.056563499,50339000,Latin America and the Caribbean
Comoros,60059,0.070574618,851000,Africa
Congo,239407,0.044491173,5381000,Africa
Cook Islands,22488,1.249333333,18000,Oceania
Costa Rica,149273,0.029570721,5048000,Latin America and the Caribbean
Côte d Ivoire,1114047,NA,NA,Africa
Croatia,990141,0.239743584,4130000,Europe
Cuba,1638895,0.144612636,11333000,Latin America and the Caribbean
Curaçao,72021,0.441846626,163000,Latin America and the Caribbean
Cyprus,214664,0.179035863,1199000,Asia
Czechia,911469,0.085271681,10689000,Europe
Democratic Republic of the Congo,1684715,0.019411172,86791000,Africa
Denmark,247156,0.04281982,5772000,Europe
Djibouti,18677,0.019175565,974000,Africa
Dominica,62917,0.873847222,72000,Latin America and the Caribbean
Dominican Republic,1481900,0.137992364,10739000,Latin America and the Caribbean
Ecuador,1183368,0.068111431,17374000,Latin America and the Caribbean
Egypt,3518960,0.035053592,100388000,Africa
El Salvador,1600787,0.248030214,6454000,Latin America and the Caribbean
Equatorial Guinea,125670,0.092676991,1356000,Africa
Eritrea,751499,0.214898198,3497000,Africa
Estonia,208270,0.157066365,1326000,Europe
Eswatini,97132,0.084609756,1148000,Africa
Ethiopia,852379,0.007605162,112079000,Africa
Falkland Islands  Malvinas ,1623,NA,NA,Latin America and the Caribbean
Faroe Islands,13574,0.277020408,49000,Europe
Fiji,222043,0.249486517,890000,Oceania
Finland,290021,0.052426067,5532000,Europe
France,1994998,0.030631015,65130000,Europe
French Guiana,1543,0.005302405,291000,Latin America and the Caribbean
French Polynesia,1316,0.004716846,279000,Oceania
Gabon,46688,0.021485504,2173000,Africa
Gambia,118485,0.050462095,2348000,Africa
Georgia,852826,0.213366525,3997000,Asia
Germany,4012921,0.048049152,83517000,Europe
Ghana,970566,0.03190762,30418000,Africa
Gibraltar,14320,0.421176471,34000,Europe
Greece,1039394,0.099245106,10473000,Europe
