Country,sum_migrants,Population,pct_of_pop,Region
Afghanistan,53958,18111000,0.002979294,Asia
Albania,62720,3113000,0.020147767,Europe
Algeria,41822,28758000,0.001454274,Africa
American Samoa,22272,53000,0.420226415,Oceania
Andorra,39688,64000,0.620125,Europe
Angola,28959,13945000,0.002076658,Africa
Anguilla,1480,10000,0.148,Latin America and the Caribbean
Antigua and Barbuda,10413,69000,0.150913043,Latin America and the Caribbean
Argentina,1311857,34828000,0.037666734,Latin America and the Caribbean
Armenia,394621,3217000,0.122667392,Asia
Aruba,13867,80000,0.1733375,Latin America and the Caribbean
Australia,3914739,17993000,0.217570111,Oceania
Austria,739323,7990000,0.092531039,Europe
Azerbaijan,50076,7775000,0.006440643,Asia
Bahamas,29115,280000,0.103982143,Latin America and the Caribbean
Bahrain,196639,564000,0.348650709,Asia
Bangladesh,800479,115170000,0.006950412,Asia
Barbados,11092,266000,0.041699248,Latin America and the Caribbean
Belarus,1154256,10078000,0.114532248,Europe
Belgium,1213037,10186000,0.119088651,Europe
Belize,23499,207000,0.113521739,Latin America and the Caribbean
Benin,64491,5906000,0.010919573,Africa
Bermuda,15797,63000,0.250746032,Northern America
Bhutan,25828,535000,0.048276636,Asia
Bolivia (Plurinational State of),80839,7622000,0.010606009,Latin America and the Caribbean
"Bonaire, Sint Eustatius and Saba",26430,15000,1.762,Latin America and the Caribbean
Bosnia and Herzegovina,60423,3829000,0.01578036,Europe
Botswana,33957,1469000,0.023115725,Africa
Brazil,670543,162020000,0.004138643,Latin America and the Caribbean
British Virgin Islands,4080,19000,0.214736842,Latin America and the Caribbean
Brunei Darussalam,83870,297000,0.282390572,Asia
Bulgaria,27876,8379000,0.003326889,Europe
Burkina Faso,129445,10090000,0.012829039,Africa
Burundi,214117,5987000,0.035763655,Africa
Cabo Verde,6014,386000,0.015580311,Africa
Cambodia,86427,10656000,0.008110642,Asia
Cameroon,10986,13600000,0.000807794,Africa
Canada,4588027,29164000,0.157318166,Northern America
Cayman Islands,12360,32000,0.38625,Latin America and the Caribbean
Central African Republic,62741,3223000,0.019466646,Africa
Chad,67798,7010000,0.009671612,Africa
Channel Islands,59282,143000,0.414559441,Europe
Chile,128205,14381000,0.008914888,Latin America and the Caribbean
China,331592,1262277000,0.000262694,Asia
"China, Hong Kong SAR",2094104,6084000,0.344198554,Asia
"China, Macao SAR",209943,386000,0.543893782,Asia
Colombia,67653,36421000,0.001857527,Latin America and the Caribbean
Comoros,786,475000,0.001654737,Africa
Congo,162594,2708000,0.060042097,Africa
Cook Islands,2531,19000,0.133210526,Oceania
Costa Rica,198087,3546000,0.055862098,Latin America and the Caribbean
Côte d'Ivoire,864647,14200000,0.060890634,Africa
Croatia,45346,4617000,0.009821529,Europe
Cuba,21258,10888000,0.001952425,Latin America and the Caribbean
Curaçao,0,144000,0,Latin America and the Caribbean
Cyprus,54277,855000,0.063481871,Asia
Czechia,164195,10358000,0.015851998,Europe
Democratic Republic of the Congo,1302212,41576000,0.031321243,Africa
Denmark,233018,5233000,0.044528569,Europe
Djibouti,236,630000,0.000374603,Africa
Dominica,1910,71000,0.026901408,Latin America and the Caribbean
Dominican Republic,292926,7819000,0.037463358,Latin America and the Caribbean
Ecuador,95767,11455000,0.008360279,Latin America and the Caribbean
Egypt,92687,62334000,0.001486941,Africa
El Salvador,38761,5629000,0.006885948,Latin America and the Caribbean
Equatorial Guinea,2813,497000,0.00565996,Africa
Eritrea,7134,2204000,0.003236842,Africa
Estonia,310761,1433000,0.216860433,Europe
Eswatini,27862,927000,0.030056095,Africa
Ethiopia,35314,57048000,0.000619023,Africa
Falkland Islands (Malvinas),796,2000,0.398,Latin America and the Caribbean
Faroe Islands,2707,46000,0.058847826,Europe
Fiji,9491,775000,0.012246452,Oceania
Finland,93791,5119000,0.018322133,Europe
France,5763668,57802000,0.099713989,Europe
French Guiana,41745,137000,0.304708029,Latin America and the Caribbean
French Polynesia,22458,218000,0.103018349,Oceania
Gabon,113355,1085000,0.104474654,Africa
Gambia,136995,1129000,0.121341895,Africa
Georgia,138913,4976000,0.0279166,Asia
Germany,6699810,81139000,0.082572006,Europe
Ghana,165458,17014000,0.009724815,Africa
Gibraltar,7115,29000,0.245344828,Europe
Greece,764633,10746000,0.071155127,Europe
Greenland,6761,56000,0.120732143,Northern America
Grenada,2490,100000,0.0249,Latin America and the Caribbean
Guadeloupe,55859,437000,0.127823799,Latin America and the Caribbean
Guam,60548,146000,0.414712329,Oceania
Guatemala,155499,10408000,0.014940334,Latin America and the Caribbean
Guinea,311858,7270000,0.042896561,Africa
Guinea-Bissau,24010,1089000,0.02204775,Africa
Guyana,2639,761000,0.003467806,Latin America and the Caribbean
Haiti,12975,7745000,0.001675274,Latin America and the Caribbean
Holy See,0,1000,0,Europe
Honduras,148786,5709000,0.026061657,Latin America and the Caribbean
Hungary,287149,10349000,0.027746546,Europe
Iceland,12254,268000,0.045723881,Europe
India,6883806,963923000,0.007141448,Asia
