hdi,year,total,stock,share
High,1990,emi,41.659765,FALSE
High,1990,imm,44.045983,FALSE
High,1990,fb,45.614529,FALSE
High,1990,pop,666.912665,FALSE
High,1990,disp,41.930392,FALSE
High,1990,imm_share,0.06604460420615944,TRUE
High,1990,emi_share,0.06246659748169575,TRUE
High,1990,fb_share,0.06839655534207016,TRUE
High,1990,disp_share,0.06287238824591823,TRUE
High,1995,emi,28.078265,FALSE
High,1995,imm,31.198674,FALSE
High,1995,fb,31.969604,FALSE
High,1995,pop,479.325084,FALSE
High,1995,disp,27.998726,FALSE
High,1995,imm_share,0.06508875717424377,TRUE
High,1995,emi_share,0.05857875153473086,TRUE
High,1995,fb_share,0.06669712282364092,TRUE
High,1995,disp_share,0.05841281196124507,TRUE
High,2000,emi,36.177211,FALSE
High,2000,imm,34.201005,FALSE
High,2000,fb,35.148249,FALSE
High,2000,pop,514.866605,FALSE
High,2000,disp,36.034961,FALSE
High,2000,imm_share,0.06642692430984139,TRUE
High,2000,emi_share,0.07026521170469,TRUE
High,2000,fb_share,0.06826670958781644,TRUE
High,2000,disp_share,0.06998892654923697,TRUE
High,2005,emi,49.563997,FALSE
High,2005,imm,41.223613,FALSE
High,2005,fb,42.812598,FALSE
High,2005,pop,587.698129,FALSE
High,2005,disp,49.512949,FALSE
High,2005,imm_share,0.07014419642639359,TRUE
High,2005,emi_share,0.08433580873285373,TRUE
High,2005,fb_share,0.07284793993278138,TRUE
High,2005,disp_share,0.08424894781313827,TRUE
High,2010,emi,77.407932,FALSE
High,2010,imm,44.035808,FALSE
High,2010,fb,46.053613,FALSE
High,2010,pop,2487.570684,FALSE
High,2010,disp,77.961911,FALSE
High,2010,imm_share,0.017702334363094624,TRUE
High,2010,emi_share,0.031117882397427386,TRUE
High,2010,fb_share,0.018513489203026805,TRUE
High,2010,disp_share,0.031340581194918116,TRUE
High,2015,emi,68.057381,FALSE
High,2015,imm,31.127716,FALSE
High,2015,fb,32.896174,FALSE
High,2015,pop,2466.246161,FALSE
High,2015,disp,68.725968,FALSE
High,2015,imm_share,0.012621495977262264,TRUE
High,2015,emi_share,0.0275955344913358,TRUE
High,2015,fb_share,0.013338560651488836,TRUE
High,2015,disp_share,0.027866629490112767,TRUE
High,2019,emi,76.907783,FALSE
High,2019,imm,31.599802,FALSE
High,2019,fb,34.470055,FALSE
High,2019,pop,2802.128735,FALSE
High,2019,disp,77.62357,FALSE
High,2019,imm_share,0.01127707003796883,TRUE
High,2019,emi_share,0.027446199041244262,TRUE
High,2019,fb_share,0.012301381649405198,TRUE
High,2019,disp_share,0.02770164305102849,TRUE
Low,1990,emi,52.112169,FALSE
Low,1990,imm,27.760268,FALSE
Low,1990,fb,30.070058,FALSE
Low,1990,pop,3209.61424,FALSE
Low,1990,disp,52.326711,FALSE
Low,1990,imm_share,0.008649097967611211,TRUE
Low,1990,emi_share,0.01623627174585317,TRUE
Low,1990,fb_share,0.009368745198488402,TRUE
Low,1990,disp_share,0.01630311529275867,TRUE
Low,1995,emi,49.195121,FALSE
Low,1995,imm,25.784291,FALSE
Low,1995,fb,27.876098,FALSE
Low,1995,pop,3246.853003,FALSE
Low,1995,disp,49.081133,FALSE
Low,1995,imm_share,0.007941317631619309,TRUE
Low,1995,emi_share,0.015151631735266458,TRUE
Low,1995,fb_share,0.008585574392879283,TRUE
Low,1995,disp_share,0.015116524509933288,TRUE
Low,2000,emi,44.111662,FALSE
Low,2000,imm,23.832541,FALSE
Low,2000,fb,25.730397,FALSE
Low,2000,pop,2117.3112830000005,FALSE
Low,2000,disp,43.876125,FALSE
Low,2000,imm_share,0.011256040239029888,TRUE
Low,2000,emi_share,0.020833810481328263,TRUE
Low,2000,fb_share,0.012152392143087633,TRUE
