hdi,year,total,stepladder,share
High,1990,emi,41.269352,FALSE
High,1990,imm,41.912712,FALSE
High,1990,fb,43.336603,FALSE
High,1990,pop,662.337505,FALSE
High,1990,disp,41.583664,FALSE
High,1990,imm_share,0.06327999197327652,TRUE
High,1990,emi_share,0.05865399347579127,TRUE
High,1990,fb_share,0.0654297886996449,TRUE
High,1990,disp_share,0.059074319442721575,TRUE
High,1995,emi,22.98989,FALSE
High,1995,imm,27.375044,FALSE
High,1995,fb,28.464014,FALSE
High,1995,pop,388.125281,FALSE
High,1995,disp,23.520887,FALSE
High,1995,imm_share,0.07053146326739793,TRUE
High,1995,emi_share,0.05592080181346555,TRUE
High,1995,fb_share,0.07333718104283962,TRUE
High,1995,disp_share,0.05713860307330736,TRUE
High,2000,emi,33.176033,FALSE
High,2000,imm,30.77133,FALSE
High,2000,fb,32.345007,FALSE
High,2000,pop,486.222409,FALSE
High,2000,disp,33.771147,FALSE
High,2000,imm_share,0.06328653190478516,TRUE
High,2000,emi_share,0.06387395555568494,TRUE
High,2000,fb_share,0.06652306928124327,TRUE
High,2000,disp_share,0.06494531828390582,TRUE
High,2005,emi,50.222848,FALSE
High,2005,imm,40.369329,FALSE
High,2005,fb,42.404741,FALSE
High,2005,pop,587.281555,FALSE
High,2005,disp,51.224904,FALSE
High,2005,imm_share,0.06873931022744278,TRUE
High,2005,emi_share,0.07878039392929495,TRUE
High,2005,fb_share,0.07220512995678878,TRUE
High,2005,disp_share,0.08022613284167263,TRUE
High,2010,emi,64.498421,FALSE
High,2010,imm,40.873937,FALSE
High,2010,fb,44.750004,FALSE
High,2010,pop,1062.004822,FALSE
High,2010,disp,66.212259,FALSE
High,2010,imm_share,0.03848752487114414,TRUE
High,2010,emi_share,0.05725542416392316,TRUE
High,2010,fb_share,0.04213728890206489,TRUE
High,2010,disp_share,0.05868751689285938,TRUE
High,2015,emi,69.448172,FALSE
High,2015,imm,26.427372,FALSE
High,2015,fb,32.970406,FALSE
