name,country_code,year,pop,alpha3
WORLD,900,1990,5327231.041,NA
WORLD,900,1995,5744212.93,NA
WORLD,900,2000,6143493.806,NA
WORLD,900,2005,6541906.956,NA
WORLD,900,2010,6956823.588,NA
WORLD,900,2015,7379796.967,NA
WORLD,900,2020,7794798.729,NA
Sub-Saharan Africa,947,1990,490604.852,NA
Sub-Saharan Africa,947,1995,560759.472,NA
Sub-Saharan Africa,947,2000,639661.386,NA
Sub-Saharan Africa,947,2005,729733.003,NA
Sub-Saharan Africa,947,2010,836363.757,NA
Sub-Saharan Africa,947,2015,958577.201,NA
Sub-Saharan Africa,947,2020,1094365.605,NA
Northern Africa and Western Asia,1833,1990,288060.443,NA
Northern Africa and Western Asia,1833,1995,323178.117,NA
Northern Africa and Western Asia,1833,2000,355881.668,NA
Northern Africa and Western Asia,1833,2005,391985.543,NA
Northern Africa and Western Asia,1833,2010,435366.79,NA
Northern Africa and Western Asia,1833,2015,481520.015,NA
Northern Africa and Western Asia,1833,2020,525869.282,NA
Central and Southern Asia,921,1990,1239984.308,NA
Central and Southern Asia,921,1995,1376199.571,NA
Central and Southern Asia,921,2000,1511915.31,NA
Central and Southern Asia,921,2005,1647073.789,NA
Central and Southern Asia,921,2010,1775360.533,NA
Central and Southern Asia,921,2015,1896327.293,NA
Central and Southern Asia,921,2020,2014708.531,NA
Eastern and South-Eastern Asia,1832,1990,1837799.004,NA
Eastern and South-Eastern Asia,1832,1995,1950219.95,NA
Eastern and South-Eastern Asia,1832,2000,2044789.22,NA
Eastern and South-Eastern Asia,1832,2005,2125348.402,NA
Eastern and South-Eastern Asia,1832,2010,2201806.674,NA
Eastern and South-Eastern Asia,1832,2015,2279489.616,NA
Eastern and South-Eastern Asia,1832,2020,2346709.481,NA
Latin America and the Caribbean,1830,1990,442840.078,NA
Latin America and the Caribbean,1830,1995,483018.226,NA
Latin America and the Caribbean,1830,2000,521836.322,NA
Latin America and the Caribbean,1830,2005,557500.981,NA
Latin America and the Caribbean,1830,2010,591352.345,NA
Latin America and the Caribbean,1830,2015,623934.126,NA
Latin America and the Caribbean,1830,2020,653962.332,NA
Oceania (excluding Australia and New Zealand),1835,1990,6939.919,NA
Oceania (excluding Australia and New Zealand),1835,1995,7721.606,NA
Oceania (excluding Australia and New Zealand),1835,2000,8574.661,NA
Oceania (excluding Australia and New Zealand),1835,2005,9376.317,NA
Oceania (excluding Australia and New Zealand),1835,2010,10348.322,NA
Oceania (excluding Australia and New Zealand),1835,2015,11311.667,NA
Oceania (excluding Australia and New Zealand),1835,2020,12355.695,NA
Australia and New Zealand,927,1990,20358.775,NA
Australia and New Zealand,927,1995,21668.023,NA
Australia and New Zealand,927,2000,22850.426,NA
Australia and New Zealand,927,2005,24313.896,NA
Australia and New Zealand,927,2010,26524.747,NA
Australia and New Zealand,927,2015,28547.026,NA
Australia and New Zealand,927,2020,30322.114,NA
Europe and Northern America,1829,1990,1000643.662,NA
Europe and Northern America,1829,1995,1021447.965,NA
Europe and Northern America,1829,2000,1037984.813,NA
Europe and Northern America,1829,2005,1056575.025,NA
Europe and Northern America,1829,2010,1079700.42,NA
Europe and Northern America,1829,2015,1100090.023,NA
Europe and Northern America,1829,2020,1116505.689,NA
Developed regions,901,1990,1145507.68,NA
Developed regions,901,1995,1169481.474,NA
Developed regions,901,2000,1188359.407,NA
Developed regions,901,2005,1209215.036,NA
Developed regions,901,2010,1234767.516,NA
Developed regions,901,2015,1256622.188,NA
Developed regions,901,2020,1273304.261,NA
Less developed regions,902,1990,4181723.361,NA
Less developed regions,902,1995,4574731.456,NA
Less developed regions,902,2000,4955134.399,NA
Less developed regions,902,2005,5332691.92,NA
Less developed regions,902,2010,5722056.072,NA
Less developed regions,902,2015,6123174.779,NA
Less developed regions,902,2020,6521494.468,NA
"Less developed regions, excluding least developed countries",934,1990,3675447.735,NA
"Less developed regions, excluding least developed countries",934,1995,3995049.754,NA
"Less developed regions, excluding least developed countries",934,2000,4297918.545,NA
"Less developed regions, excluding least developed countries",934,2005,4588501.411,NA
"Less developed regions, excluding least developed countries",934,2010,4885441.231,NA
"Less developed regions, excluding least developed countries",934,2015,5182043.462,NA
"Less developed regions, excluding least developed countries",934,2020,5464056.305,NA
"Less developed regions, excluding China",948,1990,2978289.406,CHN
"Less developed regions, excluding China",948,1995,3305985.141,CHN
"Less developed regions, excluding China",948,2000,3635583.004,CHN
"Less developed regions, excluding China",948,2005,3971957.379,CHN
"Less developed regions, excluding China",948,2010,4322553.373,CHN
"Less developed regions, excluding China",948,2015,4684981.353,CHN
"Less developed regions, excluding China",948,2020,5050207.589,CHN
Least developed countries,941,1990,506275.626,NA
Least developed countries,941,1995,579681.702,NA
Least developed countries,941,2000,657215.854,NA
Least developed countries,941,2005,744190.509,NA
Least developed countries,941,2010,836614.841,NA
Least developed countries,941,2015,941131.317,NA
Least developed countries,941,2020,1057438.163,NA
Land-locked Developing Countries (LLDC),1636,1990,265852.002,NA
Land-locked Developing Countries (LLDC),1636,1995,298698.477,NA
Land-locked Developing Countries (LLDC),1636,2000,333947.033,NA
Land-locked Developing Countries (LLDC),1636,2005,374684.858,NA
Land-locked Developing Countries (LLDC),1636,2010,420661.371,NA
Land-locked Developing Countries (LLDC),1636,2015,473816.858,NA
Land-locked Developing Countries (LLDC),1636,2020,533143.398,NA
Small island developing States (SIDS),1637,1990,49770.838,NA
Small island developing States (SIDS),1637,1995,53768.579,NA
Small island developing States (SIDS),1637,2000,57577.24,NA
Small island developing States (SIDS),1637,2005,61001.741,NA
Small island developing States (SIDS),1637,2010,65206.321,NA
Small island developing States (SIDS),1637,2015,68809.959,NA
Small island developing States (SIDS),1637,2020,72027.554,NA
High-income countries,1503,1990,1030391.304,NA
High-income countries,1503,1995,1065242.334,NA
High-income countries,1503,2000,1098780.443,NA
High-income countries,1503,2005,1135351.097,NA
High-income countries,1503,2010,1177929.112,NA
High-income countries,1503,2015,1212054.247,NA
High-income countries,1503,2020,1238417.44,NA
Middle-income countries,1517,1990,3991573.63,NA
Middle-income countries,1517,1995,4326140.034,NA
Middle-income countries,1517,2000,4640681.674,NA
Middle-income countries,1517,2005,4941373.573,NA
Middle-income countries,1517,2010,5244983.653,NA
Middle-income countries,1517,2015,5561737.202,NA
Middle-income countries,1517,2020,5867348.511,NA
Upper-middle-income countries,1502,1990,2225369.409,NA
Upper-middle-income countries,1502,1995,2365034.258,NA
Upper-middle-income countries,1502,2000,2483516.241,NA
Upper-middle-income countries,1502,2005,2589938.292,NA
Upper-middle-income countries,1502,2010,2695485.306,NA
Upper-middle-income countries,1502,2015,2811079.126,NA
Upper-middle-income countries,1502,2020,2913153.578,NA
Lower-middle-income countries,1501,1990,1766204.221,NA
Lower-middle-income countries,1501,1995,1961105.776,NA
Lower-middle-income countries,1501,2000,2157165.433,NA
Lower-middle-income countries,1501,2005,2351435.281,NA
Lower-middle-income countries,1501,2010,2549498.347,NA
Lower-middle-income countries,1501,2015,2750658.076,NA
Lower-middle-income countries,1501,2020,2954194.933,NA
Low-income countries,1500,1990,303390.423,NA
Low-income countries,1500,1995,350774.325,NA
Low-income countries,1500,2000,401768.207,NA
Low-income countries,1500,2005,462679.641,NA
Low-income countries,1500,2010,531260.033,NA
Low-income countries,1500,2015,603234.487,NA
Low-income countries,1500,2020,686089.21,NA
AFRICA,903,1990,630349.685,NA
AFRICA,903,1995,717270.112,NA
AFRICA,903,2000,810984.232,NA
AFRICA,903,2005,916154.285,NA
AFRICA,903,2010,1039304.03,NA
AFRICA,903,2015,1182438.803,NA
AFRICA,903,2020,1340598.113,NA
Eastern Africa,910,1990,197168.372,NA
Eastern Africa,910,1995,223934.244,NA
Eastern Africa,910,2000,257353.351,NA
Eastern Africa,910,2005,295185.413,NA
Eastern Africa,910,2010,339317.85,NA
Eastern Africa,910,2015,389671.295,NA
Eastern Africa,910,2020,445405.578,NA
Burundi,108,1990,5438.959,BDI
Burundi,108,1995,5987.044,BDI
Burundi,108,2000,6378.871,BDI
Burundi,108,2005,7364.857,BDI
Burundi,108,2010,8675.606,BDI
Burundi,108,2015,10160.034,BDI
Burundi,108,2020,11890.781,BDI
Comoros,174,1990,411.598,COM
Comoros,174,1995,475.394,COM
Comoros,174,2000,542.358,COM
Comoros,174,2005,611.625,COM
Comoros,174,2010,689.696,COM
Comoros,174,2015,777.435,COM
Comoros,174,2020,869.595,COM
Djibouti,262,1990,590.393,DJI
Djibouti,262,1995,630.385,DJI
Djibouti,262,2000,717.577,DJI
Djibouti,262,2005,783.248,DJI
Djibouti,262,2010,840.194,DJI
Djibouti,262,2015,913.998,DJI
Djibouti,262,2020,988.002,DJI
Eritrea,232,1990,2258.649,ERI
Eritrea,232,1995,2204.227,ERI
Eritrea,232,2000,2292.413,ERI
Eritrea,232,2005,2826.653,ERI
Eritrea,232,2010,3170.437,ERI
