alpha3,name,country_code,year,fb,pop,fb_share,refugee,disp,imm,disp_share
NA,WORLD,900,1990,153011473,5327231061,2.8722514801390555,18977581,153011473,153011473,0.028722514801390552
NA,WORLD,900,1995,161316895,5744212979.000002,2.808337636326349,18142316,161316895,161316895,0.02808337636326349
NA,WORLD,900,2000,173588441,6143493822.999998,2.825565484417352,16503717,173588441,173588441,0.02825565484417352
NA,WORLD,900,2005,191615574,6541907027.000001,2.9290476493957667,13757766,191615574,191615574,0.029290476493957666
NA,WORLD,900,2010,220781909,6956823603.000006,3.1736022299716176,15880355,220781909,220781909,0.03173602229971617
NA,WORLD,900,2015,248861296,7379797139.000004,3.3721969765922566,24651000,248861296,248861296,0.033721969765922566
NA,WORLD,900,2019,271642105,7713468100.000007,3.5216597965835854,28711526,271642105,271642105,0.03521659796583586
NA,More developed regions,901,1990,82767216,1145507718,7.225373928034939,2042750,NA,82767216,NA
NA,More developed regions,901,1995,92935095,1169481500,7.946692187948249,3880290,NA,92935095,NA
NA,More developed regions,901,2000,103961989,1188359412.9999998,8.74836247878486,3572526,NA,103961989,NA
NA,More developed regions,901,2005,116687616,1209215008,9.64986501391488,2632565,NA,116687616,NA
NA,More developed regions,901,2010,130613460,1234767502,10.577980047939421,2207096,NA,130613460,NA
NA,More developed regions,901,2015,140643317,1256622250,11.192171473965228,3601314,NA,140643317,NA
NA,More developed regions,901,2019,152069261,1270630277.0000002,11.96801805786027,4813580,NA,152069261,NA
NA,Less developed regions,902,1990,70244257,4181723343.000002,1.6797920674878077,16934831,NA,70244257,NA
NA,Less developed regions,902,1995,68381800,4574731478.999998,1.4947718858232908,14262026,NA,68381800,NA
NA,Less developed regions,902,2000,69626452,4955134410.000001,1.4051375046353178,12931191,NA,69626452,NA
NA,Less developed regions,902,2005,74927958,5332692019,1.4050681669415193,11125201,NA,74927958,NA
NA,Less developed regions,902,2010,90168449,5722056101.000008,1.5758050499407343,13673259,NA,90168449,NA
