alpha3,name,country_code,year,fb,pop,fb_share,refugee,pob_code,disp,imm,disp_share
BDI,Burundi,108,1990,333110,5438959,6.124517577720296,267929,108,337100,NA,0.06197877204075265
BDI,Burundi,108,1995,254853,5987044,4.256741724296664,173017,108,540558,NA,0.0902879618055254
BDI,Burundi,108,2000,125628,6378871,1.9694394196088931,27136,108,758673,NA,0.11893531002586508
BDI,Burundi,108,2005,192774,7364857,2.617484630047807,40581,108,619916,NA,0.08417217062055651
BDI,Burundi,108,2010,247321,8675606,2.850763393358343,41427,108,284078,NA,0.03274445612214294
BDI,Burundi,108,2015,298299,10160034,2.9360039543174756,56294,108,459979,NA,0.04527337211666811
BDI,Burundi,108,2020,344767,11890781,2.8994479000159874,87476,108,551105,NA,0.04634725002504041
COM,Comoros,174,1990,14079,411598,3.4205705567082445,~,174,40079,NA,0.09737413690056804
COM,Comoros,174,1995,13939,475394,2.9320942207936995,5,174,51290,NA,0.10788945590394494
COM,Comoros,174,2000,13799,542358,2.5442604331456344,10,174,70502,NA,0.12999162914532467
COM,Comoros,174,2005,13209,611625,2.159656652360515,~,174,96143,NA,0.15719272430002043
COM,Comoros,174,2010,12618,689696,1.8295016934997448,~,174,109125,NA,0.15822188326451075
COM,Comoros,174,2015,12555,777435,1.6149260066757993,~,174,121749,NA,0.15660344594724962
COM,Comoros,174,2020,12496,869595,1.43699078306568,~,174,150823,NA,0.17344050966254407
DJI,Djibouti,262,1990,122221,590393,20.701634335095438,54508,262,5308,NA,0.008990621501271187
DJI,Djibouti,262,1995,99774,630385,15.827470514050937,27310,262,6964,NA,0.01104721717680465
DJI,Djibouti,262,2000,100507,717577,14.00644112060448,23257,262,9055,NA,0.012618854840665184
DJI,Djibouti,262,2005,92110,783248,11.760004494106592,10475,262,11987,NA,0.015304220374645067
DJI,Djibouti,262,2010,102307,840194,12.176592548863715,15836,262,13797,NA,0.01642120748303368
DJI,Djibouti,262,2015,112351,913998,12.29225884520535,22006,262,16969,NA,0.01856568613935698
DJI,Djibouti,262,2020,119738,988002,12.119206236424622,30794,262,18365,NA,0.01858801905259301
ERI,Eritrea,232,1990,11848,2258649,0.5245613638949655,~,232,170603,NA,0.07553320591202971
ERI,Eritrea,232,1995,12400,2204227,0.5625554899744899,1083,232,375257,NA,0.17024426250109448
ERI,Eritrea,232,2000,12952,2292413,0.5649941786231364,1984,232,511506,NA,0.22312995084219117
ERI,Eritrea,232,2005,15905,2826653,0.5626796072952711,6009,232,299311,NA,0.10588883743423759
ERI,Eritrea,232,2010,15813,3170437,0.49876405050786377,4946,232,328366,NA,0.10357121116111123
ERI,Eritrea,232,2015,15941,3342818,0.47687310526627535,2550,232,624757,NA,0.1868953080903597
