name,country_code,year,fb,pop,fb_share,refugee,disp,imm,disp_share
Africa,903,1990,15689666,630349639,2.4890417998637107,5697283,NA,15689666,NA
Africa,903,1995,16357077,717270078,2.2804627575723297,5952996,NA,16357077,NA
Africa,903,2000,15051677,810984226.0000001,1.8559765427546058,3698535,NA,15051677,NA
Africa,903,2005,15969835,916154288,1.7431381601523435,2941924,NA,15969835,NA
Africa,903,2010,17804198,1039304033,1.7130885125700268,2726187,NA,17804198,NA
Africa,903,2015,23476251,1182438784,1.9854094197234993,6186607,NA,23476251,NA
Africa,903,2019,26529334,1308064195,2.028137005921181,7299284,NA,26529334,NA
Asia,935,1990,48209949,3226098962.0000005,1.4943729119243305,10038834,NA,48209949,NA
Asia,935,1995,46418044,3493086982.9999995,1.3288545125244595,7952442,NA,46418044,NA
Asia,935,2000,49394322,3741263381,1.3202578105259573,9185166,NA,49394322,NA
Asia,935,2005,53439306,3977986502,1.343375749845619,8121643,NA,53439306,NA
Asia,935,2010,65938712,4209593693,1.5663913624169334,10545376,NA,65938712,NA
Asia,935,2015,77231760,4433475358,1.742013967905311,14453065,NA,77231760,NA
Asia,935,2019,83559197,4601371198,1.8159629685238012,16013658,NA,83559197,NA
Europe,908,1990,49608231,720858449.9999999,6.881826938423211,1323376,NA,49608231,NA
Europe,908,1995,53489829,726994464,7.357666619040444,3016710,NA,53489829,NA
Europe,908,2000,56858788,725558036.0000002,7.836559610511982,2472899,NA,56858788,NA
Europe,908,2005,63594822,729287846.0000001,8.720126401228958,1862341,NA,63594822,NA
Europe,908,2010,70678025,736412989.0000001,9.597607056873894,1750314,NA,70678025,NA
Europe,908,2015,75008219,743059034.9999999,10.094516783582344,2820482,NA,75008219,NA
Europe,908,2019,82304539,747182750.9999998,11.015315716248383,3595669,NA,82304539,NA
Latin America and the Caribbean,904,1990,7161371,442840060.99999994,1.6171461506505396,1197274,NA,7161371,NA
Latin America and the Caribbean,904,1995,6688710,483018265.00000006,1.3847737207204782,352309,NA,6688710,NA
Latin America and the Caribbean,904,2000,6570729,521836304.00000006,1.2591552081819128,44176,NA,6570729,NA
Latin America and the Caribbean,904,2005,7224942,557501031.9999999,1.2959513230102866,53436,NA,7224942,NA
Latin America and the Caribbean,904,2010,8262433,591352388,1.3972097124599756,394300,NA,8262433,NA
Latin America and the Caribbean,904,2015,9441679,623934168.0000001,1.5132492311272172,415459,NA,9441679,NA
Latin America and the Caribbean,904,2019,11673288,648120957.0000001,1.8010971368728625,607263,NA,11673288,NA
Northern America,905,1990,27610408,279785259,9.868428414950909,610144,NA,27610408,NA
Northern America,905,1995,33340948,294453542,11.322990979677193,775419,NA,33340948,NA
Northern America,905,2000,40351694,312426773,12.915568538679622,1019706,NA,40351694,NA
Northern America,905,2005,45363257,327287151,13.860384332655943,696254,NA,45363257,NA
Northern America,905,2010,50970861,343287419,14.847867465833346,426384,NA,50970861,NA
Northern America,905,2015,55633443,357031048,15.58224230403626,714900,NA,55633443,NA
Northern America,905,2019,58647822,366600964.00000006,15.997727163641608,1086344,NA,58647822,NA
Oceania,909,1990,4731848,27298690,17.333608316003442,110670,NA,4731848,NA
Oceania,909,1995,5022287,29389647.000000004,17.08862648129118,92440,NA,5022287,NA
Oceania,909,2000,5361231,31425103.000000004,17.060345036896138,83235,NA,5361231,NA
Oceania,909,2005,6023412,33690208,17.87882105091189,82168,NA,6023412,NA
Oceania,909,2010,7127680,36873081,19.33030765723103,37794,NA,7127680,NA
Oceania,909,2015,8069944,39858746,20.24635697269553,60487,NA,8069944,NA
Oceania,909,2019,8927925,42128034.99999999,21.19236038424294,109308,NA,8927925,NA
