year,orig,dest,refugees,asylum_seekers
1995,AFG,AFG,0,0
1996,AFG,AFG,0,0
1997,AFG,AFG,0,0
1998,AFG,AFG,0,0
1999,AFG,AFG,0,0
2000,AFG,AFG,0,0
2001,AFG,AFG,0,0
2002,AFG,AFG,0,0
2003,AFG,AFG,0,0
2004,AFG,AFG,0,0
2005,AFG,AFG,0,0
2006,AFG,AFG,0,0
2007,AFG,AFG,0,0
2008,AFG,AFG,0,0
2009,AFG,AFG,0,0
2010,AFG,AFG,0,0
2011,AFG,AFG,0,0
2012,AFG,AFG,0,0
2013,AFG,AFG,0,0
2014,AFG,AFG,0,0
2015,AFG,AFG,0,0
2016,AFG,AFG,0,0
2017,AFG,AFG,0,0
2018,AFG,AFG,0,0
2020,AFG,AFG,0,0
2020,BEN,AFG,0,5
2018,BGD,AFG,0,5
2003,CHN,AFG,0,5
1995,IRN,AFG,5,0
1996,IRN,AFG,5,0
2001,IRN,AFG,5,0
2002,IRN,AFG,0,12
2003,IRN,AFG,19,41
2004,IRN,AFG,26,28
2005,IRN,AFG,31,5
2006,IRN,AFG,34,5
2007,IRN,AFG,38,0
2008,IRN,AFG,30,5
2009,IRN,AFG,30,10
2010,IRN,AFG,30,21
2011,IRN,AFG,34,25
2012,IRN,AFG,37,12
2013,IRN,AFG,36,16
2014,IRN,AFG,36,21
2015,IRN,AFG,30,20
2016,IRN,AFG,33,16
2017,IRN,AFG,34,5
2018,IRN,AFG,34,10
2020,IRN,AFG,36,25
1996,IRQ,AFG,5,0
1997,IRQ,AFG,5,0
2001,IRQ,AFG,5,0
2002,IRQ,AFG,0,5
2003,IRQ,AFG,5,25
2004,IRQ,AFG,5,0
2007,IRQ,AFG,5,0
2008,IRQ,AFG,7,0
2009,IRQ,AFG,6,0
2010,IRQ,AFG,6,0
2011,IRQ,AFG,5,0
2005,PAK,AFG,0,5
2008,PAK,AFG,0,5
2009,PAK,AFG,0,5
2010,PAK,AFG,6398,10
2011,PAK,AFG,2972,27
2012,PAK,AFG,16147,37
2013,PAK,AFG,16825,45
2014,PAK,AFG,300385,35
2015,PAK,AFG,257523,51
2016,PAK,AFG,59737,99
2017,PAK,AFG,75893,101
2018,PAK,AFG,72194,121
2020,PAK,AFG,72191,138
1995,TJK,AFG,19600,0
1996,TJK,AFG,18769,0
2014,TJK,AFG,0,5
2015,TJK,AFG,0,5
2016,TJK,AFG,0,10
2017,TJK,AFG,0,5
2018,TJK,AFG,0,5
2017,TUR,AFG,0,102
2018,TUR,AFG,0,139
2020,TUR,AFG,0,79
2018,DZA,ALB,0,16
2020,DZA,ALB,0,0
2010,EGY,ALB,5,0
2011,EGY,ALB,5,0
2013,EGY,ALB,5,0
2014,EGY,ALB,5,0
2015,EGY,ALB,5,0
2016,EGY,ALB,5,0
2017,EGY,ALB,5,0
2018,EGY,ALB,5,0
2020,EGY,ALB,5,0
2014,AZE,ALB,0,5
1995,BIH,ALB,45,0
1996,BIH,ALB,45,0
1995,CHN,ALB,150,0
1996,CHN,ALB,150,0
2006,CHN,ALB,5,0
2007,CHN,ALB,5,0
2008,CHN,ALB,5,0
2009,CHN,ALB,6,0
2010,CHN,ALB,6,0
2011,CHN,ALB,9,0
2012,CHN,ALB,10,0
2013,CHN,ALB,12,0
2014,CHN,ALB,12,0
2015,CHN,ALB,11,0
2016,CHN,ALB,11,0
2017,CHN,ALB,12,0
2018,CHN,ALB,12,0
2020,CHN,ALB,12,0
2012,COD,ALB,0,5
2013,COD,ALB,5,0
2014,COD,ALB,5,0
2015,COD,ALB,0,5
2016,COD,ALB,5,0
2017,COD,ALB,5,0
2018,COD,ALB,5,0
2009,PSE,ALB,5,0
2010,PSE,ALB,5,0
2011,PSE,ALB,5,0
